"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1818,5,2,"Science Fiction",386,8
1776,5,2,"Science Fiction",413,8
1639,4,5,"Science Fiction",259,10
1302,4,1,"Mystery",499,19
1597,4,3,"Science Fiction",317,12
1945,5,2,"Mystery",363,6
1727,5,1,"Mystery",268,10
1402,3,2,"Mystery",205,17
1784,3,1,"Mystery",358,10
1646,3,3,"Mystery",199,11
1660,5,1,"Science Fiction",478,11
1327,5,3,"Romance",587,20
1758,4,3,"Science Fiction",356,11
2030,8,1,"Science Fiction",364,6
1524,4,4,"Mystery",451,14
1689,5,6,"Science Fiction",434,11
1815,5,6,"Science Fiction",362,9
1841,4,2,"Mystery",403,9
2072,7,3,"Mystery",347,7
1790,6,1,"Science Fiction",430,8
1702,4,2,"Science Fiction",538,8
1568,7,3,"Science Fiction",582,13
1476,3,3,"Mystery",277,15
1850,6,3,"Science Fiction",321,10
1700,5,4,"Romance",272,11
1798,5,4,"Science Fiction",389,10
2143,7,2,"Mystery",396,5
2055,7,3,"Science Fiction",331,6
1566,2,7,"Science Fiction",383,15
1660,3,2,"Science Fiction",265,11
1597,4,1,"Science Fiction",388,12
1822,5,3,"Science Fiction",284,7
1670,4,1,"Science Fiction",381,10
1497,3,6,"Mystery",412,12
1651,4,4,"Romance",379,11
1577,2,7,"Science Fiction",411,11
1858,5,4,"Science Fiction",427,7
1794,4,2,"Science Fiction",331,9
1496,3,3,"Mystery",457,13
1336,4,4,"Mystery",175,19
1474,3,4,"Mystery",469,16
1717,5,2,"Science Fiction",230,10
1779,5,5,"Science Fiction",414,10
1617,3,7,"Science Fiction",328,12
2083,6,0,"Science Fiction",392,7
1764,5,2,"Science Fiction",378,9
1779,4,2,"Romance",230,8
1826,7,8,"Mystery",161,11
1704,6,4,"Mystery",382,8
1671,4,2,"Science Fiction",329,11
2017,6,3,"Mystery",387,7
1596,4,0,"Mystery",402,12
1579,4,6,"Mystery",250,13
1816,6,3,"Romance",234,9
1245,2,6,"Mystery",193,21
1582,5,2,"Romance",498,11
1967,6,4,"Mystery",291,7
1496,4,2,"Mystery",380,15
1776,4,4,"Romance",456,9
1040,4,1,"Mystery",69,38
1525,5,3,"Romance",233,13
1661,4,1,"Mystery",272,11
2013,7,1,"Science Fiction",430,5
1621,3,4,"Mystery",407,12
1557,4,2,"Mystery",209,13
1791,5,2,"Science Fiction",342,9
1587,8,3,"Romance",593,13
1691,3,0,"Mystery",344,8
1633,4,1,"Mystery",404,10
1535,3,1,"Romance",457,13
1429,4,5,"Science Fiction",545,16
1875,5,5,"Science Fiction",398,8
1782,5,3,"Romance",285,10
1582,6,3,"Mystery",165,11
1829,3,1,"Science Fiction",304,8
1941,6,0,"Science Fiction",347,9
1767,7,3,"Science Fiction",204,8
1621,4,2,"Mystery",244,11
2057,7,2,"Science Fiction",406,7
2192,8,5,"Science Fiction",321,6
1805,4,3,"Science Fiction",310,10
1825,5,0,"Science Fiction",425,8
1673,3,2,"Science Fiction",330,12
1828,6,9,"Science Fiction",320,8
1589,3,2,"Romance",375,14
2024,6,1,"Science Fiction",488,7
1301,4,3,"Romance",566,19
1674,3,2,"Science Fiction",347,10
1933,6,1,"Science Fiction",229,7
1531,3,2,"Romance",241,13
2022,6,4,"Romance",345,6
1482,5,5,"Mystery",183,14
1654,4,2,"Science Fiction",367,12
1637,4,3,"Mystery",236,12
1403,3,1,"Mystery",435,18
1325,1,5,"Mystery",389,20
1571,5,0,"Science Fiction",154,12
1511,2,3,"Mystery",287,14
1985,5,3,"Science Fiction",301,7
1564,6,2,"Mystery",154,13
2128,7,3,"Mystery",341,7
1980,7,3,"Mystery",294,8
1453,3,4,"Science Fiction",208,14
1538,3,3,"Science Fiction",361,12
1491,3,2,"Mystery",334,15
1390,1,6,"Science Fiction",313,18
1804,5,2,"Science Fiction",297,9
1171,0,2,"Science Fiction",468,27
1263,3,7,"Romance",181,22
1666,5,1,"Science Fiction",322,11
1914,4,5,"Mystery",267,8
1864,4,5,"Science Fiction",378,9
1080,3,3,"Science Fiction",164,35
1364,2,0,"Mystery",420,19
1410,2,2,"Mystery",465,17
1387,4,3,"Romance",156,17
1492,2,3,"Science Fiction",464,13
1524,4,4,"Science Fiction",463,14
1851,6,7,"Mystery",474,7
1662,3,2,"Science Fiction",281,11
1969,5,2,"Science Fiction",378,8
1469,2,7,"Mystery",487,15
1666,3,1,"Science Fiction",455,11
1959,6,4,"Science Fiction",364,9
1656,3,4,"Mystery",331,11
1591,7,4,"Science Fiction",164,13
1741,5,1,"Science Fiction",440,9
1582,3,8,"Mystery",298,12
1936,5,5,"Mystery",341,6
1649,8,3,"Mystery",156,11
1499,4,4,"Science Fiction",142,13
1638,5,3,"Science Fiction",305,10
1528,4,6,"Science Fiction",512,14
1790,5,4,"Science Fiction",403,9
1779,6,1,"Science Fiction",408,10
1659,3,1,"Mystery",303,12
1746,4,1,"Mystery",326,9
1498,4,4,"Mystery",409,15
1604,4,2,"Science Fiction",272,10
1494,5,2,"Science Fiction",512,12
1518,2,2,"Science Fiction",452,12
1791,5,5,"Science Fiction",277,9
1731,3,4,"Romance",340,10
1966,6,4,"Romance",330,7
1523,4,1,"Science Fiction",198,14
1954,5,5,"Science Fiction",315,6
1299,4,3,"Science Fiction",129,19
1749,3,7,"Romance",360,11
1533,3,4,"Romance",424,12
1846,5,4,"Mystery",262,9
2037,5,1,"Science Fiction",436,9
1667,5,3,"Science Fiction",156,10
1449,6,6,"Science Fiction",618,15
1995,7,3,"Mystery",437,6
1893,7,1,"Romance",414,8
1763,4,5,"Mystery",267,8
1772,4,5,"Mystery",350,10
1705,4,2,"Romance",217,10
1793,6,2,"Science Fiction",436,10
1781,4,4,"Science Fiction",320,9
1723,6,2,"Science Fiction",258,10
1957,7,5,"Mystery",371,8
1490,4,1,"Science Fiction",467,14
1765,5,0,"Mystery",378,7
1555,4,4,"Science Fiction",195,13
1628,3,5,"Science Fiction",429,12
1671,4,1,"Mystery",417,11
1157,4,0,"Science Fiction",605,27
1258,4,5,"Mystery",536,23
1924,5,3,"Science Fiction",302,6
1939,7,3,"Science Fiction",291,8
1698,6,2,"Science Fiction",434,10
1548,3,5,"Science Fiction",290,13
1314,1,3,"Science Fiction",334,21
1625,3,2,"Romance",246,12
1240,4,4,"Science Fiction",588,22
1118,5,2,"Mystery",596,29
1655,6,3,"Mystery",519,12
1648,2,4,"Science Fiction",305,12
1542,3,5,"Mystery",388,13
1744,5,3,"Mystery",469,8
1859,5,5,"Science Fiction",330,10
1523,2,6,"Science Fiction",387,13
1901,7,2,"Romance",284,8
1907,4,3,"Mystery",364,9
1500,4,2,"Science Fiction",232,15
1830,6,3,"Science Fiction",227,9
1653,4,4,"Mystery",439,10
1523,3,4,"Science Fiction",378,14
1841,6,1,"Science Fiction",274,10
1899,5,4,"Mystery",290,7
2004,6,1,"Science Fiction",451,7
989,2,2,"Science Fiction",146,44
1503,3,2,"Science Fiction",446,15
2068,7,4,"Mystery",366,6
1887,6,2,"Science Fiction",340,9
1586,3,0,"Mystery",411,11
1813,6,5,"Science Fiction",432,9
1680,4,3,"Science Fiction",441,10
1643,4,1,"Science Fiction",271,12
1908,6,3,"Mystery",323,8
1831,6,3,"Science Fiction",524,9
1657,4,5,"Science Fiction",455,13
1744,5,2,"Science Fiction",461,10
1620,3,4,"Mystery",350,13
1710,4,5,"Mystery",436,9
1572,4,3,"Science Fiction",449,12
1775,5,3,"Science Fiction",337,9
1358,1,1,"Mystery",429,18
1487,3,1,"Science Fiction",297,14
1768,5,2,"Science Fiction",214,9
1706,4,6,"Science Fiction",246,10
1749,4,1,"Science Fiction",371,11
1580,4,3,"Science Fiction",306,11
1791,4,5,"Mystery",373,7
1516,4,3,"Mystery",234,14
1759,4,7,"Romance",353,9
1457,4,5,"Science Fiction",505,15
1780,5,3,"Mystery",364,10
1764,4,4,"Science Fiction",310,8
1930,6,1,"Mystery",348,7
1389,4,1,"Mystery",177,18
1591,3,2,"Science Fiction",429,12
2172,9,4,"Science Fiction",340,5
1895,4,2,"Science Fiction",375,8
1621,3,5,"Science Fiction",342,12
1967,5,4,"Romance",421,7
1565,3,2,"Mystery",373,14
1829,5,4,"Science Fiction",277,7
1717,6,2,"Science Fiction",208,10
1571,5,4,"Science Fiction",398,13
1456,4,3,"Mystery",432,15
1843,6,8,"Romance",362,8
1535,3,1,"Science Fiction",342,12
1836,5,3,"Science Fiction",294,9
1601,3,1,"Science Fiction",265,11
1913,6,0,"Mystery",415,8
1469,4,5,"Mystery",196,14
1660,6,2,"Science Fiction",218,10
1388,4,1,"Mystery",240,16
1788,5,2,"Romance",322,8
1811,5,5,"Romance",338,9
1586,5,3,"Romance",189,11
1616,4,4,"Mystery",246,10
1649,2,0,"Mystery",390,12
1801,6,1,"Romance",232,9
1685,3,4,"Mystery",295,9
1495,3,3,"Romance",440,13
1615,3,2,"Romance",321,10
1816,5,2,"Science Fiction",387,10
1723,5,2,"Science Fiction",289,11
1437,4,4,"Science Fiction",204,16
1782,5,5,"Science Fiction",386,9
1624,4,2,"Science Fiction",368,15
1652,3,3,"Science Fiction",318,10
1800,7,1,"Mystery",211,9
1688,4,3,"Science Fiction",408,8
1732,4,2,"Science Fiction",318,10
1773,7,5,"Science Fiction",188,9
2049,5,2,"Science Fiction",404,5
1303,4,2,"Mystery",559,18
1871,5,2,"Science Fiction",350,8
1757,4,1,"Science Fiction",382,9
1796,6,1,"Mystery",415,9
1447,4,3,"Mystery",502,15
1644,5,3,"Science Fiction",263,12
1944,6,5,"Mystery",357,8
1843,6,4,"Science Fiction",323,8
1752,4,5,"Romance",330,10
1674,5,1,"Science Fiction",228,12
2048,6,1,"Romance",391,7
1711,5,5,"Science Fiction",414,10
1454,2,1,"Romance",334,16
1600,3,1,"Science Fiction",215,12
1726,5,4,"Science Fiction",299,12
1665,5,1,"Science Fiction",211,11
1512,4,4,"Mystery",282,12
1624,3,2,"Mystery",267,11
1572,7,7,"Mystery",156,10
1923,6,4,"Romance",431,9
1774,5,3,"Romance",448,10
1542,3,2,"Mystery",231,13
1905,4,1,"Romance",405,9
1458,3,6,"Mystery",329,16
1540,3,1,"Science Fiction",440,14
1705,4,4,"Science Fiction",438,8
1555,5,4,"Romance",206,13
1624,4,2,"Mystery",347,11
1693,2,4,"Science Fiction",356,10
1158,4,2,"Science Fiction",99,28
1333,3,4,"Mystery",197,20
2144,6,4,"Romance",412,7
1803,5,3,"Romance",369,10
1509,2,5,"Mystery",371,15
1401,4,2,"Science Fiction",449,18
1694,3,2,"Science Fiction",412,11
1949,6,6,"Mystery",409,9
1804,4,2,"Mystery",339,9
1853,5,2,"Science Fiction",347,7
1722,5,1,"Mystery",341,9
2211,7,4,"Science Fiction",390,6
1880,5,2,"Science Fiction",353,8
1345,7,5,"Mystery",619,17
2021,7,2,"Science Fiction",334,6
1851,5,0,"Science Fiction",333,7
1287,4,2,"Mystery",517,21
2228,8,4,"Science Fiction",424,5
1900,6,2,"Science Fiction",218,7
1637,4,3,"Science Fiction",286,11
1878,6,2,"Mystery",400,6
1659,5,4,"Mystery",359,10
1987,6,8,"Romance",306,7
1681,5,3,"Mystery",371,12
1870,6,4,"Science Fiction",452,8
1713,5,3,"Science Fiction",309,8
