"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",1,"Medium",2,1046,707
"MSI",5,"Large",2,1315,826
"HP",1,"Medium",4,1085,431
"HP",3,"Medium",2,756,501
"HP",1,"Medium",1,870,687
"HP",2,"Medium",2,1259,600
"MSI",3,"Small",3,970,371
"HP",3,"Medium",0,1279,906
"HP",2,"Large",3,977,518
"MSI",4,"Large",2,1137,772
"HP",2,"Medium",2,662,527
"HP",2,"Large",1,1084,834
"MSI",1,"Small",3,1143,503
"HP",1,"Large",2,1060,659
"HP",2,"Large",2,766,576
"HP",3,"Large",2,1093,683
"HP",4,"Medium",1,810,672
"HP",1,"Small",0,839,626
"HP",2,"Medium",0,1100,820
"MSI",1,"Large",5,1161,432
"HP",1,"Large",2,1261,693
"MSI",2,"Medium",2,834,606
"MSI",4,"Small",1,872,578
"HP",2,"Large",1,867,697
"HP",2,"Small",1,1088,649
"MSI",0,"Medium",2,1208,745
"Apple",3,"Large",2,887,738
"HP",1,"Large",1,1127,829
"HP",2,"Medium",2,1253,682
"Apple",3,"Medium",4,1043,515
"HP",3,"Medium",0,1096,850
"HP",4,"Large",2,1391,722
"HP",5,"Large",1,956,751
"MSI",3,"Large",0,1046,920
"MSI",0,"Medium",4,795,384
"HP",0,"Medium",3,1121,545
"Apple",3,"Medium",0,1316,968
"Apple",0,"Medium",3,912,539
"MSI",1,"Medium",0,1151,846
"MSI",1,"Large",1,993,882
"HP",1,"Medium",5,1210,342
"HP",1,"Medium",2,1443,725
"HP",0,"Small",4,1056,318
"MSI",2,"Small",0,986,739
"MSI",4,"Medium",0,1331,996
"HP",5,"Medium",0,461,658
"MSI",1,"Large",6,1213,328
"Apple",0,"Large",3,1110,672
"Apple",0,"Medium",1,1072,825
"HP",3,"Large",3,998,581
"HP",4,"Medium",3,1132,516
"HP",4,"Medium",2,1023,561
"HP",2,"Large",2,1046,654
"HP",4,"Medium",1,1088,709
"MSI",3,"Large",0,1067,946
"HP",1,"Small",2,736,471
"HP",2,"Small",0,915,752
"HP",3,"Large",2,859,633
"HP",1,"Medium",2,1208,726
"MSI",3,"Medium",2,804,625
"Apple",2,"Small",2,900,532
"HP",1,"Medium",2,999,605
"MSI",0,"Small",2,1116,554
"MSI",2,"Large",2,1000,658
"HP",3,"Large",0,1177,890
"HP",3,"Medium",3,910,498
"HP",1,"Medium",2,900,611
"MSI",1,"Large",2,683,640
"HP",1,"Large",1,1152,827
"MSI",1,"Medium",0,967,832
"HP",1,"Large",2,601,575
"MSI",1,"Medium",3,1280,616
"MSI",2,"Medium",1,711,705
"MSI",2,"Large",2,1161,746
"HP",4,"Large",3,850,495
"HP",0,"Medium",2,1285,681
"MSI",1,"Small",3,1033,440
"HP",1,"Large",2,1061,673
"MSI",4,"Medium",3,929,531
"HP",0,"Medium",2,1057,614
"MSI",3,"Medium",5,944,309
"Apple",2,"Large",2,937,730
"MSI",2,"Small",2,1088,567
"HP",3,"Large",2,1124,678
"HP",5,"Medium",0,1130,849
"HP",2,"Medium",2,835,526
"MSI",0,"Large",3,1202,670
"HP",2,"Medium",1,1040,680
"HP",2,"Medium",0,763,756
"MSI",2,"Medium",1,1107,822
"HP",1,"Medium",5,947,299
"MSI",0,"Medium",2,967,626
"MSI",1,"Medium",6,1059,221
"Apple",3,"Medium",3,655,530
"MSI",2,"Medium",1,1275,808
"HP",2,"Large",0,1234,939
"HP",2,"Medium",1,805,607
"HP",2,"Medium",2,566,452
"MSI",1,"Medium",1,1457,865
"HP",0,"Large",2,846,610
"HP",3,"Large",2,901,639
"Apple",2,"Medium",2,1559,861
"MSI",6,"Large",2,842,721
"HP",1,"Small",4,1019,349
"HP",3,"Medium",5,1158,370
"HP",3,"Large",1,1046,721
"MSI",3,"Medium",4,754,399
"HP",2,"Large",2,1021,649
"Apple",0,"Medium",2,1180,745
"HP",1,"Large",1,1130,810
"HP",2,"Medium",2,1059,656
"MSI",4,"Medium",4,1082,421
"HP",1,"Large",2,613,532
"HP",2,"Medium",1,650,615
"HP",3,"Medium",2,904,552
"HP",1,"Medium",2,911,601
"MSI",0,"Medium",1,987,763
"MSI",2,"Medium",2,1015,726
"MSI",0,"Medium",2,1071,709
"HP",1,"Medium",3,1185,541
"MSI",0,"Medium",0,1068,883
"Apple",2,"Small",6,826,105
"Apple",4,"Large",3,761,632
"HP",1,"Large",1,813,680
"Apple",1,"Small",0,848,740
"Apple",2,"Medium",1,1439,894
"HP",1,"Large",2,795,597
"MSI",5,"Medium",1,1121,763
"HP",3,"Medium",4,811,345
"MSI",0,"Large",4,736,398
"HP",3,"Large",2,958,629
"MSI",1,"Medium",0,662,762
"HP",3,"Small",3,1124,432
"HP",2,"Medium",4,1154,440
"MSI",5,"Medium",1,846,745
"HP",1,"Large",2,992,695
"MSI",0,"Small",2,944,576
"HP",3,"Small",2,1041,522
"HP",2,"Large",5,756,288
"HP",1,"Large",2,763,556
"MSI",0,"Medium",1,1061,722
"HP",0,"Medium",4,1175,436
"Apple",2,"Medium",1,1124,857
"HP",3,"Medium",1,1086,731
"HP",0,"Large",2,659,581
"MSI",3,"Medium",3,1060,581
"MSI",2,"Large",0,1130,912
"HP",3,"Medium",0,1160,868
"HP",2,"Small",4,843,261
"Apple",2,"Medium",4,1126,570
"Apple",4,"Large",2,783,731
"HP",0,"Medium",2,1187,669
"Apple",2,"Medium",3,1288,646
"Apple",2,"Large",3,1148,662
"HP",1,"Small",2,990,511
"HP",1,"Large",3,602,398
"MSI",1,"Medium",3,1087,572
"MSI",3,"Medium",2,1116,701
"HP",1,"Large",4,971,363
"HP",3,"Medium",1,773,662
"Apple",2,"Medium",0,1102,937
"Apple",4,"Small",2,846,586
"HP",3,"Medium",2,944,598
"HP",0,"Medium",2,1485,760
"HP",0,"Large",2,936,657
"MSI",1,"Medium",6,792,178
"HP",3,"Medium",0,1280,860
"HP",0,"Large",1,1267,823
"HP",1,"Medium",5,1066,319
"MSI",2,"Medium",4,942,378
"Apple",1,"Medium",4,803,515
"HP",1,"Large",4,959,408
"HP",3,"Small",1,972,577
"MSI",3,"Small",0,1017,785
"MSI",1,"Large",1,1053,810
"HP",2,"Medium",0,1046,806
"HP",3,"Large",0,933,830
"HP",3,"Medium",1,982,693
"HP",3,"Large",3,1223,618
"HP",4,"Medium",0,1089,831
"MSI",3,"Large",2,567,559
"MSI",0,"Medium",3,1274,644
"HP",1,"Medium",2,990,611
"MSI",3,"Large",2,908,663
"HP",2,"Medium",1,979,693
"MSI",4,"Large",1,1085,766
"Apple",0,"Medium",2,1065,723
"HP",1,"Large",3,962,581
"MSI",2,"Large",2,1232,738
"Apple",3,"Large",1,1350,945
"Apple",6,"Medium",6,817,228
"HP",1,"Medium",3,1230,566
"Apple",1,"Medium",1,1010,819
"HP",5,"Medium",1,1170,741
"MSI",1,"Medium",2,1182,674
"HP",4,"Small",3,1273,456
"HP",0,"Large",5,1566,473
"HP",1,"Medium",3,1125,564
"HP",5,"Medium",0,1069,774
"HP",2,"Medium",4,851,338
"MSI",2,"Small",3,1299,509
"MSI",3,"Large",4,1092,535
"HP",2,"Medium",1,884,647
"HP",1,"Large",3,833,442
"HP",2,"Small",1,985,622
"MSI",3,"Medium",1,1259,834
"MSI",0,"Medium",2,1077,658
"HP",0,"Small",1,885,532
"MSI",0,"Medium",2,748,647
"MSI",4,"Medium",4,1070,503
"HP",1,"Medium",2,948,626
"MSI",2,"Medium",2,884,612
"HP",1,"Large",2,996,622
"MSI",3,"Small",2,1080,542
"HP",0,"Large",3,1022,546
"HP",2,"Large",2,1095,719
"MSI",0,"Medium",2,1170,610
"HP",3,"Medium",6,785,175
"HP",1,"Medium",3,936,461
"MSI",0,"Large",2,1058,751
"HP",4,"Small",3,1132,476
"MSI",3,"Medium",2,1168,644
"Apple",3,"Small",1,909,700
"MSI",4,"Medium",4,850,461
"HP",3,"Medium",1,911,724
"HP",2,"Medium",1,1118,778
"HP",4,"Large",1,1118,792
"MSI",6,"Medium",3,916,518
"MSI",0,"Large",0,1137,903
"HP",3,"Large",2,977,594
"MSI",6,"Large",4,1678,678
"HP",3,"Large",1,938,756
"Apple",3,"Medium",1,801,747
"Apple",4,"Large",3,606,559
"MSI",2,"Large",0,967,903
"MSI",4,"Small",0,926,707
"MSI",2,"Medium",0,843,860
"HP",4,"Small",1,906,610
"HP",2,"Medium",3,1264,587
"MSI",5,"Large",6,999,344
"HP",0,"Large",3,843,531
"MSI",3,"Large",1,1143,842
"HP",1,"Small",2,980,515
"MSI",1,"Large",1,652,676
"HP",3,"Medium",2,899,554
"HP",0,"Medium",2,702,481
"HP",2,"Small",1,1287,710
"HP",1,"Medium",0,962,766
"MSI",3,"Medium",1,1017,760
"HP",2,"Small",1,1035,630
"MSI",1,"Medium",3,640,408
"MSI",2,"Large",1,947,783
"HP",2,"Large",2,742,586
"HP",2,"Medium",2,696,535
"HP",0,"Medium",1,874,668
"HP",2,"Medium",2,1380,747
"HP",3,"Large",3,1171,539
"MSI",3,"Small",1,989,582
"MSI",0,"Medium",4,853,408
"HP",1,"Large",1,778,711
"HP",0,"Medium",1,599,583
"MSI",5,"Medium",2,909,676
"HP",2,"Medium",2,1112,629
"HP",0,"Large",1,1269,839
"HP",3,"Large",1,1146,776
"HP",1,"Small",4,869,245
"MSI",4,"Large",0,934,856
"HP",4,"Large",3,1014,603
"HP",0,"Medium",4,1170,477
"MSI",3,"Medium",2,986,642
"HP",0,"Medium",1,701,627
"MSI",2,"Large",2,1483,819
"HP",0,"Medium",2,565,458
"MSI",1,"Medium",4,1031,512
"Apple",2,"Medium",2,1401,820
"HP",1,"Large",3,930,524
"MSI",2,"Medium",3,670,451
"HP",4,"Large",4,763,387
"MSI",2,"Medium",1,1194,855
"MSI",2,"Large",2,1181,777
"HP",2,"Large",2,1093,723
"MSI",1,"Large",1,1111,810
"MSI",1,"Medium",4,1165,487
"HP",2,"Medium",2,1153,633
"MSI",1,"Medium",2,939,558
"Apple",2,"Medium",0,1245,932
"HP",2,"Large",2,978,643
"MSI",1,"Medium",5,560,222
"MSI",2,"Large",1,1011,770
"HP",2,"Large",0,802,786
"MSI",2,"Medium",4,914,474
"MSI",0,"Medium",2,1283,694
"HP",4,"Medium",1,909,606
"HP",1,"Medium",6,902,201
"MSI",1,"Medium",1,1094,812
"HP",2,"Medium",0,928,742
"HP",2,"Large",1,1117,746
"HP",2,"Medium",0,1413,872
"HP",1,"Large",3,1204,620
"MSI",2,"Medium",2,1094,640
"MSI",3,"Medium",1,1218,832
"HP",1,"Medium",2,601,471
"MSI",2,"Medium",1,844,745
"MSI",2,"Large",6,1212,348
"HP",3,"Small",2,1350,559
"Apple",2,"Large",2,875,747
"MSI",0,"Large",1,951,810
"Apple",4,"Small",2,1157,642
"MSI",2,"Medium",1,977,767
"HP",4,"Large",0,713,863
"HP",1,"Small",5,1136,234
"MSI",3,"Large",1,1025,818
"MSI",1,"Medium",2,1037,677
"HP",5,"Medium",0,1053,853
"MSI",3,"Medium",2,981,629
"MSI",4,"Medium",3,808,487
"MSI",4,"Large",0,871,845
"HP",1,"Medium",3,827,458
"MSI",2,"Medium",2,1050,676
"MSI",2,"Large",1,627,713
"MSI",0,"Large",2,933,686
"MSI",3,"Medium",6,883,178
"HP",2,"Medium",1,1189,756
"MSI",0,"Large",2,1291,778
"HP",2,"Small",0,1380,819
"HP",1,"Small",3,1032,358
"HP",2,"Medium",0,1355,875
"HP",1,"Small",1,1296,737
"MSI",0,"Small",1,978,582
"HP",1,"Medium",5,826,242
"MSI",1,"Medium",2,998,634
"MSI",4,"Large",3,756,550
"HP",5,"Large",1,796,737
"HP",1,"Medium",2,1364,731
"HP",1,"Large",4,801,366
"MSI",2,"Large",1,1184,840
"HP",3,"Small",2,1134,541
"MSI",1,"Medium",2,1000,702
"HP",1,"Medium",1,1207,778
"HP",3,"Small",1,890,508
"MSI",5,"Medium",1,1221,830
"HP",4,"Large",3,1097,512
"MSI",2,"Large",1,980,822
"HP",3,"Medium",1,748,645
"HP",0,"Medium",3,986,504
"HP",2,"Large",3,1033,575
"HP",0,"Medium",1,1082,695
"MSI",2,"Large",1,850,717
"MSI",4,"Large",1,1084,779
"HP",0,"Medium",0,1013,877
"HP",3,"Large",1,1165,752
"MSI",4,"Medium",1,812,711
"Apple",0,"Large",2,1154,763
"HP",1,"Medium",3,1126,592
"MSI",1,"Medium",2,864,598
"MSI",2,"Medium",1,1232,847
"HP",2,"Small",2,839,455
"HP",0,"Medium",4,1239,436
"HP",3,"Medium",2,1122,635
"MSI",3,"Medium",3,1098,517
"HP",2,"Medium",2,537,433
"HP",0,"Medium",3,861,405
"HP",1,"Medium",1,1208,822
"MSI",2,"Medium",0,1228,876
"HP",2,"Large",0,781,746
"MSI",1,"Medium",3,764,504
"MSI",2,"Small",3,1219,483
"MSI",3,"Medium",7,991,137
"HP",1,"Medium",1,1144,762
"MSI",0,"Large",1,596,665
"HP",1,"Large",1,890,746
"MSI",4,"Medium",2,986,646
"MSI",2,"Large",1,1174,853
"MSI",1,"Medium",2,1085,723
"MSI",3,"Medium",1,957,704
"HP",3,"Medium",0,796,772
"MSI",1,"Large",0,873,899
"HP",2,"Large",3,969,554
"MSI",0,"Medium",1,770,679
"MSI",6,"Large",0,855,855
"HP",5,"Large",2,1115,671
"HP",2,"Large",0,1103,887
"MSI",1,"Medium",2,1183,696
"HP",0,"Large",2,895,608
"MSI",1,"Medium",4,1015,472
"MSI",1,"Large",1,903,779
"MSI",3,"Large",2,1132,783
"Apple",3,"Large",4,1281,674
"HP",2,"Small",0,1170,754
"HP",2,"Medium",1,1146,804
"HP",1,"Small",5,630,69
"HP",3,"Medium",3,831,393
"MSI",1,"Medium",0,782,812
"Apple",1,"Medium",3,720,498
"HP",4,"Medium",4,635,318
"MSI",2,"Medium",3,1256,620
"Apple",0,"Small",0,682,707
"MSI",6,"Large",5,768,380
"HP",2,"Medium",3,1354,542
"Apple",1,"Large",3,827,585
"HP",2,"Medium",3,1110,521
"MSI",0,"Medium",3,1089,575
"MSI",2,"Large",1,1143,812
"HP",1,"Large",3,870,491
"MSI",4,"Large",2,1177,731
"HP",2,"Large",0,986,879
"HP",2,"Medium",4,1011,410
"HP",0,"Medium",0,737,719
"HP",1,"Large",2,1222,758
"HP",2,"Small",1,1179,662
"HP",0,"Medium",4,860,409
"MSI",1,"Large",2,1088,720
"MSI",2,"Large",0,1061,910
"MSI",2,"Small",4,1225,417
"MSI",0,"Large",4,525,361
"HP",1,"Small",1,1022,560
"MSI",0,"Medium",0,809,792
"HP",3,"Medium",0,727,724
"HP",1,"Medium",2,1032,637
"HP",0,"Medium",6,1112,249
"MSI",3,"Medium",3,1102,612
"MSI",5,"Medium",2,1102,671
"HP",6,"Large",2,1084,670
"HP",0,"Medium",1,760,659
"HP",1,"Medium",3,1115,549
"HP",0,"Large",2,1077,639
"HP",3,"Medium",2,807,536
"MSI",2,"Medium",1,1237,770
"MSI",1,"Medium",4,861,397
"HP",5,"Large",2,999,689
"HP",3,"Medium",3,1037,474
"HP",0,"Large",0,1034,852
"HP",2,"Medium",2,1268,711
"HP",0,"Medium",1,1090,722
"HP",2,"Large",3,1084,583
"HP",2,"Large",4,779,397
"Apple",2,"Medium",0,1079,886
"HP",3,"Medium",2,885,592
"MSI",2,"Large",1,1023,812
"MSI",1,"Medium",3,967,544
"MSI",0,"Small",1,974,661
"MSI",2,"Medium",2,1154,738
"HP",2,"Medium",3,839,465
"MSI",3,"Small",0,1128,804
"MSI",1,"Small",4,958,379
"HP",2,"Small",0,922,684
"MSI",0,"Large",2,1203,727
"HP",2,"Large",0,1054,832
"MSI",2,"Large",2,968,675
"HP",0,"Small",2,976,473
